jenis_ikan,nama_ikan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Jumlah_kg
Pelagis Besar,Alu Alu/baracuda,300,476,550,619,560,668,650,769,521,630,502,668,6913
Karang (Reef-Associated),Ayam ayam,360,465,650,420,633,514,489,730,764,620,611,628,6884
Pelagis Besar,Bawal laut,1071,1051,1056,1002,1248,1008,1032,932,1150,1028,986,1051,12615
Pelagis Kecil,Bentong,1488,1800,2100,1050,1650,1980,1880,1875,1650,1816,1705,1400,20394
Pelagis Besar,Cakalang,96022,100671,186000,186500,148836,256733,186476,173056,165882,198560,252500,286476,2237712
Demersal,Cucut,626,598,789,543,469,596,732,803,626,626,626,626,7660
Pelagis Kecil,Ekor kuning/Pisang-pisang/sunglir/salem,3345,3506,2986,2886,3560,3056,3426,3456,3654,3201,3567,3502,40145
Demersal,Golok golok,846,796,950,709,786,1030,832,736,890,893,730,960,10158
Demersal,Gulamah/Tigawaja/Samgeh,3791,3780,3560,3937,4005,3640,4056,3737,3560,4020,3646,3756,45488
Pelagis Besar,ikan pedang,525,520,496,536,489,430,540,732,452,523,489,564,6296
Demersal,Ikan sebelah,700,735,620,542,635,835,795,635,895,918,695,568,8573
Pelagis Kecil,Japuh,704,735,553,598,603,785,732,783,852,798,620,685,8448
Karang (Reef-Associated),Jenaha,239,253,242,215,245,180,213,373,231,210,189,273,2863
Karang (Reef-Associated),Kakap Merah,1507,1465,1789,1235,1573,1523,1620,1058,1620,1550,1565,1578,18083
Pelagis Kecil,Kapas kapas,7150,7030,6580,9803,6530,6856,7890,7050,7501,6835,6223,6350,85798
Pelagis Kecil,Kembung,1925,1901,1983,1856,1788,1685,2010,1860,2632,1680,1890,1890,23100
Karang (Reef-Associated),Kerapu,408,468,436,302,488,496,391,378,365,425,384,354,4895
Karang (Reef-Associated),kuwe,6354,6540,5980,5883,5978,6320,6830,5984,6729,6300,6820,6532,76250
Demersal,Kuniran/biji nangka,2598,2560,2146,2386,2443,2689,2135,2004,2756,2856,2560,4045,31178
Demersal,Kurisi,1659,1589,1458,1705,2122,1413,1555,1658,1835,1689,1602,1623,19908
Pelagis Kecil,Laosan,3155,3050,2780,2980,3055,3120,2950,3005,3560,3760,2890,3560,37865
Pelagis Kecil,Layang,27586,27860,27456,27830,26805,27456,27560,27860,27586,27320,27856,27858,331033
Pelagis Besar,layaran,6567,6502,6541,6213,6801,6540,6471,6423,6004,6840,6600,6980,78482
Pelagis Kecil,Layur,19928,20560,20805,19550,20145,19253,19320,20560,20056,19850,20450,18663,239140
Pelagis Besar,Lemadang,17433,17860,16580,18018,17230,17803,17060,18006,17530,17030,17080,17560,209190
Demersal,Manyung,856,830,812,856,832,903,915,825,805,873,889,882,10278
Pelagis Besar,Marlin,7913,7864,6805,8302,7320,8325,8850,8985,7334,8056,7356,7850,94960
Demersal,Pari,674,652,632,656,702,730,756,656,620,654,703,653,8088
Pelagis Kecil,Peperek,1825,1832,1856,1872,1868,1856,1832,1892,1864,1730,1760,1713,21900
Pelagis Besar,Swanggi,517,486,495,520,508,532,503,512,602,432,613,485,6205
Pelagis Kecil,Selar,2428,2456,2413,2335,2450,2432,2193,2120,2986,2532,2140,2650,29135
Demersal,Tambakan,615,630,654,680,621,671,520,541,510,602,656,680,7380
Pelagis Kecil,Tembang,918,930,925,914,891,970,956,903,886,975,845,899,11012
Pelagis Besar,Tenggiri,8023,7985,8501,7560,8540,7851,8565,7225,7986,8732,7956,7356,96280
Pelagis Kecil,Tetengkek,741,659,696,720,692,655,687,732,756,714,922,924,8898
Pelagis Besar,Tongkol,38631,38231,37560,36893,36560,35501,36530,37560,52032,38625,38205,37250,463578
Pelagis Besar,Tuna Sirip Kuning,142385,156321,140151,132560,156040,132050,136856,138560,125605,125320,156350,166424,1708622
Pelagis Besar,Tuna Mata Besar,6504,6325,6251,6152,6601,6321,6215,6152,6381,6856,6965,7325,78048
Pelagis Kecil,Teri,0,0,0,0,0,0,0,0,0,0,0,0,0
jumlah,,418317,437972,502837,497338,482302,565406,503023,491126,487668,506079,588146,633241,6113455
